,k,x,reward,patch_label,regret,m,q,simul_id
44,2.0,[   3.          241.22784256 -163.54888176],0.0,Speaker,1.0,[ 0.00380264  0.05896818 -0.0718161 ],[ 1.0326654   9.81302432 13.55548728],9
59,2.0,[   3.          235.19143972 -163.36857792],0.0,Speaker,1.0,[ 0.00380408  0.05896892 -0.07181528],[ 1.03266565  9.81303126 13.55566333],9
64,2.0,[   3.          523.79338548 -171.7329024 ],0.0,Speaker,1.0,[ 0.00380259  0.0589683  -0.07181614],[ 1.03266515  9.81295269 13.55539296],9
68,3.0,[  2.          33.84110896 -28.82581378],1.0,non_Speaker,0.0,[ 0.00219787  0.04325139 -0.07368192],[ 1.01744386 14.18601928 19.73379079],9
72,3.0,[  2.          34.72150404 -28.02693723],1.0,non_Speaker,0.0,[ 0.00436981  0.0721724  -0.07695008],[ 1.02426282  8.14018741 10.8815857 ],9
134,3.0,[   2.          828.81626181 -176.58894736],0.0,non_Speaker,1.0,[ 0.00500035  0.08379742 -0.07979562],[1.02725338 8.94617667 9.46105249],9
138,3.0,[   2.          304.52529666 -178.05878641],0.0,non_Speaker,1.0,[ 0.00500082  0.08379684 -0.0797961 ],[1.02725345 8.94620789 9.46099955],9
168,2.0,[  3.          29.43577044 -84.83908532],1.0,Speaker,0.0,[ 0.00380191  0.05897112 -0.07181741],[ 1.03265849  9.81102394 13.55283063],9
173,3.0,[  2.         203.11258643  -6.87510464],0.0,non_Speaker,1.0,[ 0.0050006   0.08379745 -0.0797949 ],[1.02725397 8.94634157 9.46132266],9
178,4.0,[   2.          360.92274275 -176.77324607],1.0,non_Speaker,0.0,[ 0.00089825  0.02261154 -0.05316162],[  1.01287923 103.12788348  23.9915237 ],9
189,2.0,[  3.         828.63090429  -2.78869802],0.0,Speaker,1.0,[ 0.00380714  0.05812148 -0.07350152],[ 1.03260113  9.57990271 14.10443691],9
199,2.0,[  3.         850.80279829  -2.98576171],0.0,Speaker,1.0,[ 0.00380652  0.05812123 -0.07350179],[ 1.03260105  9.5799036  14.10437104],9
219,4.0,[  2.         601.7444167   -3.45988176],1.0,non_Speaker,0.0,[ 0.00099848  0.02259537 -0.05316829],[  1.01289827 103.57447782  23.99069059],9
231,4.0,[   2.           48.17525022 -109.84247647],0.0,non_Speaker,1.0,[ 0.4047106   3.13772267 -1.92259016],[1. 1. 1.],9
260,3.0,[   2.          511.10611029 -175.25099036],1.0,non_Speaker,0.0,[ 0.00500048  0.08379713 -0.07979576],[1.02725356 8.94674007 9.46106935],9
264,5.0,[  2.         345.75339829 177.23359162],0.0,non_Speaker,1.0,[ 0.00073784  0.01987775 -0.04679328],[  1.06422879 296.75986836  60.40725757],9
268,3.0,[  2.          14.55923942 -79.52148771],1.0,non_Speaker,0.0,[ 0.00500215  0.08379719 -0.07979439],[1.02725461 8.94703373 9.46155944],9
272,3.0,[  2.          60.36658627 -39.39811145],1.0,non_Speaker,0.0,[ 0.00498802  0.08233143 -0.08252853],[ 1.0271374   8.73158521 10.25493393],9
278,3.0,[   2.           46.52994559 -114.57552555],1.0,non_Speaker,0.0,[ 0.00495802  0.08315835 -0.0825088 ],[ 1.02699306  9.02173198 10.26884138],9
304,2.0,[  3.         522.88493307  -5.30189822],1.0,Speaker,0.0,[ 0.00380552  0.05812003 -0.07350061],[ 1.03260522  9.58103903 14.10609763],9
340,3.0,[   2.          263.36681957 -164.96605417],0.0,non_Speaker,1.0,[ 0.00495887  0.08315566 -0.08251689],[ 1.02699166  9.02235421 10.27734503],9
